trial_index,result_name,seed,selection_metric,acc,auc,f1,dataset,base_model,lr,weight_decay,dropout,batch_size,hidden_dim,n_layers_conv,global_pool,max_hop,classification_fusion_mode,classification_fusion_hidden_dim,relation_hidden_dim,relation_temperature,stance_route_temperature,stance_route_hard,lambda_edge_relation_aux,lambda_edge_relation_warmup,uncertainty_sample_temperature,uncertainty_keep_floor,uncertainty_sampling_warmup_epochs,use_degree_importance,degree_importance_strength,semantic_change_hidden_dim,use_node_keep_in_change_pool,vertical_path_attention_heads,vertical_path_attention_uncertainty_scale,vertical_path_attention_residual_gate,vertical_path_attention_dropout,classification_fusion_hidden_dim,dropout,lr,weight_decay,n_layers_conv,overrides
0,sweep_weibo_resgcn_uncertainty_semantic_change_routing_seed4_t0000_deg0p5_keep0p0,4,val_loss,0.954983922829582,0.9552906864413796,0.9539473684210527,Weibo,ResGCN_UncertaintySemanticChange,0.0005,1e-05,0.3,128,128,2,mean,72,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.0,5,True,0.5,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""degree_importance_strength"": 0.5, ""uncertainty_keep_floor"": 0.0}"
1,sweep_weibo_resgcn_uncertainty_semantic_change_routing_seed4_t0001_deg1p0_keep0p0,4,val_loss,0.9528403001071811,0.9529307854376167,0.9514348785871964,Weibo,ResGCN_UncertaintySemanticChange,0.0005,1e-05,0.3,128,128,2,mean,72,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.0,5,True,1.0,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""degree_importance_strength"": 1.0, ""uncertainty_keep_floor"": 0.0}"
2,sweep_weibo_resgcn_uncertainty_semantic_change_routing_seed4_t0002_deg2p0_keep0p0,4,val_loss,0.9506966773847803,0.9506421874856243,0.9490022172949002,Weibo,ResGCN_UncertaintySemanticChange,0.0005,1e-05,0.3,128,128,2,mean,72,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.0,5,True,2.0,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""degree_importance_strength"": 2.0, ""uncertainty_keep_floor"": 0.0}"
3,sweep_weibo_resgcn_uncertainty_semantic_change_routing_seed4_t0003_deg0p5_keep0p05,4,val_loss,0.9442658092175777,0.9450598485615186,0.9438444924406048,Weibo,ResGCN_UncertaintySemanticChange,0.0005,1e-05,0.3,128,128,2,mean,72,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.05,5,True,0.5,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""degree_importance_strength"": 0.5, ""uncertainty_keep_floor"": 0.05}"
4,sweep_weibo_resgcn_uncertainty_semantic_change_routing_seed4_t0004_deg1p0_keep0p05,4,val_loss,0.9517684887459807,0.9520360471428176,0.9506037321624589,Weibo,ResGCN_UncertaintySemanticChange,0.0005,1e-05,0.3,128,128,2,mean,72,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.05,5,True,1.0,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""degree_importance_strength"": 1.0, ""uncertainty_keep_floor"": 0.05}"
5,sweep_weibo_resgcn_uncertainty_semantic_change_routing_seed4_t0005_deg2p0_keep0p05,4,val_loss,0.9485530546623794,0.9484961956371732,0.9467849223946785,Weibo,ResGCN_UncertaintySemanticChange,0.0005,1e-05,0.3,128,128,2,mean,72,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.05,5,True,2.0,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""degree_importance_strength"": 2.0, ""uncertainty_keep_floor"": 0.05}"
6,sweep_weibo_resgcn_uncertainty_semantic_change_routing_seed4_t0006_deg0p5_keep0p1,4,val_loss,0.9453376205787781,0.9454554654939231,0.9437706725468578,Weibo,ResGCN_UncertaintySemanticChange,0.0005,1e-05,0.3,128,128,2,mean,72,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.1,5,True,0.5,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""degree_importance_strength"": 0.5, ""uncertainty_keep_floor"": 0.1}"
7,sweep_weibo_resgcn_uncertainty_semantic_change_routing_seed4_t0007_deg1p0_keep0p1,4,val_loss,0.9614147909967846,0.9618712680902742,0.9606986899563319,Weibo,ResGCN_UncertaintySemanticChange,0.0005,1e-05,0.3,128,128,2,mean,72,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.1,5,True,1.0,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""degree_importance_strength"": 1.0, ""uncertainty_keep_floor"": 0.1}"
8,sweep_weibo_resgcn_uncertainty_semantic_change_routing_seed4_t0008_deg2p0_keep0p1,4,val_loss,0.9421221864951769,0.9430564628166085,0.9419354838709677,Weibo,ResGCN_UncertaintySemanticChange,0.0005,1e-05,0.3,128,128,2,mean,72,original_change_vertical,256,128,1.0,0.5,True,0.1,0.5,0.5,0.1,5,True,2.0,128,False,4,1.0,1.0,0.3,256,0.3,0.0005,1e-05,2,"{""degree_importance_strength"": 2.0, ""uncertainty_keep_floor"": 0.1}"
